id,cr0,cr1,cr2,cr3
0,FAIL,FAIL,FAIL,FAIL
1,PASS,FAIL,FAIL,FAIL
2,PASS,FAIL,FAIL,FAIL
3,PASS,PASS,PASS,PASS
4,PASS,FAIL,PASS,FAIL
5,PASS,FAIL,FAIL,FAIL
6,PASS,PASS,PASS,PASS
7,PASS,PASS,PASS,FAIL
8,PASS,PASS,PASS,FAIL
9,PASS,FAIL,FAIL,FAIL
10,PASS,PASS,PASS,FAIL
11,FAIL,FAIL,FAIL,FAIL
12,PASS,PASS,PASS,PASS
13,PASS,PASS,PASS,PASS
14,PASS,FAIL,PASS,PASS
15,PASS,PASS,PASS,PASS
16,FAIL,FAIL,FAIL,FAIL
17,PASS,FAIL,FAIL,FAIL
18,PASS,PASS,PASS,FAIL
19,FAIL,FAIL,FAIL,FAIL
20,FAIL,FAIL,FAIL,FAIL
21,PASS,FAIL,FAIL,FAIL
22,FAIL,FAIL,FAIL,FAIL
23,PASS,PASS,PASS,PASS
24,PASS,PASS,PASS,PASS
25,FAIL,FAIL,FAIL,FAIL
26,PASS,FAIL,FAIL,FAIL
27,PASS,PASS,PASS,FAIL
28,PASS,FAIL,FAIL,FAIL
29,PASS,PASS,PASS,PASS
30,PASS,PASS,PASS,FAIL
31,PASS,FAIL,PASS,FAIL
32,FAIL,FAIL,FAIL,FAIL
33,PASS,PASS,PASS,PASS
34,PASS,PASS,PASS,PASS
35,PASS,FAIL,PASS,FAIL
36,FAIL,FAIL,FAIL,FAIL
37,PASS,PASS,PASS,PASS
38,PASS,FAIL,FAIL,FAIL
39,PASS,FAIL,PASS,FAIL
40,PASS,PASS,PASS,PASS
41,PASS,FAIL,FAIL,FAIL
42,FAIL,FAIL,FAIL,FAIL
43,FAIL,FAIL,FAIL,FAIL
44,PASS,PASS,PASS,FAIL
45,FAIL,FAIL,FAIL,FAIL
46,PASS,FAIL,PASS,FAIL
47,FAIL,FAIL,FAIL,FAIL
48,FAIL,FAIL,FAIL,FAIL
49,FAIL,FAIL,FAIL,FAIL
50,FAIL,FAIL,FAIL,FAIL
51,PASS,PASS,PASS,PASS
52,PASS,FAIL,FAIL,FAIL
53,PASS,PASS,PASS,PASS
